variable,decade,morans_I,p_value
clay,1960s,0.35529269593129137,0.002
clay,1970s,0.6425558484289845,0.002
clay,1980s,0.37423148747447166,0.002
clay,1990s,0.4329111160993019,0.002
clay,2000s,0.5980924797862462,0.002
ph,1960s,0.1919127845312881,0.002
ph,1970s,0.7303897801115866,0.002
ph,1980s,0.5535808931673227,0.002
ph,1990s,0.5820465204226606,0.002
ph,2000s,0.8628330714805404,0.002
orgc,1960s,0.3460732998357407,0.002
orgc,1970s,0.6207715924580662,0.002
orgc,1980s,0.5176844575185755,0.002
orgc,1990s,0.5110595739871724,0.002
orgc,2000s,0.5054218436225845,0.002
