longitude,latitude,value_avg,depth_category,depth_mid,country_name,region,year,decade,variable
26.09778,-30.14528,43.0,Deep,60.0,South Africa,Southern Africa,1973.0,1970s,clay
30.0235004425049,-27.5921993255615,19.5,Surface,10.0,South Africa,Southern Africa,,,clay
26.04667,-28.98333,29.0,Deep,95.0,South Africa,Southern Africa,1973.0,1970s,clay
29.87667,-27.58833,49.0,Mid,50.0,South Africa,Southern Africa,1978.0,1970s,clay
29.30556,-26.20833,8.0,Mid,22.5,South Africa,Southern Africa,1973.0,1970s,clay
30.566667,-29.416667,48.0,Deep,85.0,South Africa,Southern Africa,1975.0,1970s,clay
27.211111,-22.680556,29.0,Mid,35.0,Botswana,Southern Africa,1982.0,1980s,clay
28.73889,-30.27083,3.0,Mid,50.0,South Africa,Southern Africa,1999.0,1990s,clay
30.3,-24.6,18.0,Surface,8.0,South Africa,Southern Africa,1977.0,1970s,clay
26.5625,-23.149722,27.0,Deep,157.5,Botswana,Southern Africa,1988.0,1980s,clay
30.20139,-29.56389,41.0,Mid,21.5,South Africa,Southern Africa,1976.0,1970s,clay
17.45833,-29.22083,5.0,Mid,50.0,South Africa,Southern Africa,1977.0,1970s,clay
30.78528,-29.41806,30.0,Deep,79.5,South Africa,Southern Africa,1975.0,1970s,clay
26.33333,-29.07,38.0,Mid,49.0,South Africa,Southern Africa,1973.0,1970s,clay
25.573611,-25.025,7.0,Surface,10.0,Botswana,Southern Africa,1984.0,1980s,clay
26.79889,-31.68528,57.0,Deep,70.0,South Africa,Southern Africa,2000.0,2000s,clay
30.783333,-29.066667,46.9,Mid,42.5,South Africa,Southern Africa,1975.0,1970s,clay
27.35333,-25.20333,7.0,Surface,15.0,South Africa,Southern Africa,1981.0,1980s,clay
31.95167,-28.71833,39.0,Deep,100.0,South Africa,Southern Africa,1981.0,1980s,clay
32.195,-28.36,50.0,Surface,10.0,South Africa,Southern Africa,1972.0,1970s,clay
29.14444,-31.5775,40.0,Deep,65.0,South Africa,Southern Africa,1998.0,1990s,clay
28.30222,-25.88,22.0,Deep,100.0,South Africa,Southern Africa,1977.0,1970s,clay
26.12667,-29.13667,40.0,Deep,80.0,South Africa,Southern Africa,1973.0,1970s,clay
25.2375,-25.284722,16.0,Mid,50.0,Botswana,Southern Africa,1985.0,1980s,clay
30.0674095153809,-29.8035011291504,44.8,Surface,7.5,South Africa,Southern Africa,1975.0,1970s,clay
25.358333,-25.184722,7.0,Mid,40.0,Botswana,Southern Africa,1984.0,1980s,clay
28.54667,-31.40139,28.0,Deep,90.0,South Africa,Southern Africa,2000.0,2000s,clay
27.73722,-31.77111,18.0,Surface,15.0,South Africa,Southern Africa,2001.0,2000s,clay
28.37333,-24.84,7.0,Deep,67.0,South Africa,Southern Africa,1983.0,1980s,clay
28.54667,-31.40139,22.0,Mid,50.0,South Africa,Southern Africa,2000.0,2000s,clay
30.058500289917,-27.5667991638184,16.0,Surface,10.0,South Africa,Southern Africa,,,clay
22.762300491333,-29.9813003540039,11.0,Surface,10.0,South Africa,Southern Africa,,,clay
29.26167,-30.84139,60.0,Deep,105.0,South Africa,Southern Africa,1998.0,1990s,clay
25.636111,-25.143056,31.0,Deep,140.0,Botswana,Southern Africa,1984.0,1980s,clay
17.53333,-29.86222,50.0,Mid,32.5,South Africa,Southern Africa,1977.0,1970s,clay
27.68667,-26.54667,44.0,Deep,90.0,South Africa,Southern Africa,1977.0,1970s,clay
25.804167,-24.6775,15.0,Mid,30.0,Botswana,Southern Africa,1988.0,1980s,clay
22.7159004211426,-29.9057998657227,14.5,Surface,10.0,South Africa,Southern Africa,,,clay
30.075,-25.77167,51.0,Deep,62.5,South Africa,Southern Africa,1972.0,1970s,clay
29.16667,-24.86333,8.0,Surface,15.0,South Africa,Southern Africa,1983.0,1980s,clay
25.7975,-24.5,28.0,Deep,92.5,Botswana,Southern Africa,1989.0,1980s,clay
29.89305,-22.78555,3.0,Surface,16.0,South Africa,Southern Africa,1986.0,1980s,clay
27.29667,-28.12333,19.0,Surface,5.5,South Africa,Southern Africa,1976.0,1970s,clay
32.25,-26.457,56.0,Deep,111.0,Mozambique,Eastern Africa,1992.0,1990s,clay
